County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Northumberland,01/15/2021,2,1.7,279,90843,2.2,1.89,307.12,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Somerset,02/06/2021,2,0.6,184,73447,2.72,0.78,250.52,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
York,02/26/2021,0,1.9,730,449058,0,0.41,162.56,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Pennsylvania,05/30/2020,35,49.4,6089,12801989,0.27,0.39,47.56,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,07/13/2020,17,14.4,7153,12801989,0.13,0.11,55.87,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,11/10/2020,52,50,9451,12801989,0.41,0.39,73.82,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pike,04/22/2021,0,0,53,55809,0,0,94.97,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
York,09/02/2020,1,1.1,133,449058,0.22,0.25,29.62,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Montgomery,06/23/2020,0,1.9,813,830915,0,0.22,97.84,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Bucks,04/22/2021,0,1.3,1230,628270,0,0.2,195.78,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Bucks,09/12/2020,0,0.6,604,628270,0,0.09,96.14,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Cumberland,10/15/2020,0,0.1,77,253370,0,0.06,30.39,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Pennsylvania,11/25/2020,126,106.4,10805,12801989,0.98,0.83,84.4,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Cameron,01/31/2021,0,0,6,4447,0,0,134.92,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Beaver,02/27/2021,0,0.7,350,163929,0,0.44,213.51,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Cumberland,11/15/2020,2,1.9,98,253370,0.79,0.73,38.68,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Pennsylvania,05/06/2020,123,125.3,4217,12801989,0.96,0.98,32.94,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Montgomery,07/25/2020,1,0.7,860,830915,0.12,0.09,103.5,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Beaver,05/06/2020,2,1.3,66,163929,1.22,0.78,40.26,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Franklin,04/16/2021,0,0.7,350,155027,0,0.46,225.77,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Beaver,12/24/2020,0,3,250,163929,0,1.83,152.51,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Cumberland,02/12/2021,2,1.1,470,253370,0.79,0.45,185.5,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
York,10/01/2020,1,2,176,449058,0.22,0.45,39.19,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Pennsylvania,11/16/2020,98,70.6,9893,12801989,0.77,0.55,77.28,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Cumberland,04/13/2021,1,0.3,504,253370,0.39,0.11,198.92,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Cameron,03/04/2021,0,0,6,4447,0,0,134.92,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Beaver,08/10/2020,0,0.3,95,163929,0,0.17,57.95,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Clearfield,12/31/2020,2,1,58,79255,2.52,1.26,73.18,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
York,12/22/2020,6,7.1,404,449058,1.34,1.59,89.97,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Cambria,12/17/2020,2,6.4,227,130192,1.54,4.94,174.36,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Beaver,06/30/2020,1,0.1,80,163929,0.61,0.09,48.8,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Franklin,04/13/2021,1,0.6,349,155027,0.65,0.37,225.12,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Berks,02/05/2021,3,3.7,858,421164,0.71,0.88,203.72,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Somerset,01/28/2021,0,1.1,176,73447,0,1.56,239.63,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
York,11/17/2020,1,1,234,449058,0.22,0.22,52.11,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
McKean,04/22/2021,0,0,67,40625,0,0,164.92,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Juniata,03/16/2021,0,0,81,24763,0,0,327.1,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Clearfield,12/28/2020,1,1.1,55,79255,1.26,1.44,69.4,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Cameron,03/01/2021,0,0,6,4447,0,0,134.92,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Cumberland,06/22/2020,0,0.3,63,253370,0,0.11,24.86,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Philadelphia,06/28/2020,2,3,1684,1584064,0.13,0.19,106.31,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Beaver,02/04/2021,1,1.6,334,163929,0.61,0.96,203.75,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Cumberland,04/20/2021,0,0.6,508,253370,0,0.23,200.5,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Cumberland,02/19/2021,0,0.9,476,253370,0,0.34,187.87,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Cumberland,07/03/2020,0,0,64,253370,0,0,25.26,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Crawford,02/04/2021,1,0.4,131,84629,1.18,0.51,154.79,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Beaver,06/04/2020,0,0,77,163929,0,0,46.97,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Montgomery,11/11/2020,1,0.7,907,830915,0.12,0.09,109.16,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
