Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Lawrence,08/12/2020,16,5.1,416,85512,18.7,6,486.5,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Clearfield,03/05/2020,0,,0,79255,0,,0,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Clinton,06/26/2020,0,0.9,77,38632,0,2.2,199.3,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Centre,07/04/2020,2,3.7,232,162385,1.2,2.3,142.9,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Northumberland,05/25/2020,3,3.9,183,90843,3.3,4.2,201.4,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Somerset,03/21/2020,1,0.1,1,73447,1.4,0.2,1.4,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Lawrence,08/30/2020,4,3,464,85512,4.7,3.5,542.6,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Mifflin,04/17/2020,2,1.4,20,46138,4.3,3.1,43.3,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Venango,01/15/2021,21,27,2918,50668,41.4,53.3,5759.1,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Blair,03/23/2020,0,0,0,121829,0,0,0,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Forest,07/28/2020,0,0.3,9,7247,0,3.9,124.2,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Potter,12/16/2020,10,10.9,477,16526,60.5,65.7,2886.4,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Fulton,05/19/2020,1,0.7,13,14530,6.9,4.9,89.5,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Clinton,03/26/2020,0,0,0,38632,0,0,0,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
McKean,03/24/2020,0,0,0,40625,0,0,0,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Franklin,07/04/2020,2,6.1,962,155027,1.3,4,620.5,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Elk,04/27/2020,0,0.1,4,29910,0,0.5,13.4,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Tioga,05/29/2020,0,0.1,17,40591,0,0.4,41.9,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Cameron,05/01/2020,0,0,1,4447,0,0,22.5,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Butler,11/03/2020,23,45.9,2044,187853,12.2,24.4,1088.1,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Perry,07/02/2020,0,0.1,90,46272,0,0.3,194.5,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Sullivan,03/22/2020,0,0,0,6066,0,0,0,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Montgomery,03/19/2020,13,7,66,830915,1.6,0.8,7.9,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Columbia,11/19/2020,28,17.4,1319,64964,43.1,26.8,2030.4,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Monroe,08/28/2020,2,3.7,1725,170271,1.2,2.2,1013.1,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Mercer,03/08/2020,0,0,0,109424,0,0,0,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Cameron,08/17/2020,0,0.1,8,4447,0,3.2,179.9,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Pike,03/03/2020,0,,0,55809,0,,0,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Venango,09/20/2020,0,0.6,90,50668,0,1.1,177.6,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
McKean,03/20/2020,0,0,0,40625,0,0,0,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Crawford,08/27/2020,2,3.4,214,84629,2.4,4.1,252.9,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Juniata,08/04/2020,0,0.6,128,24763,0,2.3,516.9,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Jefferson,04/04/2020,0,0,0,43425,0,0,0,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Bedford,06/27/2020,4,1.9,81,47888,8.4,3.9,169.1,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Monroe,09/15/2020,1,3,1782,170271,0.6,1.8,1046.6,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Dauphin,05/11/2020,22,22.3,857,278299,7.9,8,307.9,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Potter,04/06/2021,1,1.9,994,16526,6.1,11.2,6014.8,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Forest,04/15/2020,0,0,7,7247,0,0,96.6,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Franklin,06/05/2020,4,3.4,792,155027,2.6,2.2,510.9,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Susquehanna,05/10/2020,0,0.1,82,40328,0,0.4,203.3,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Cameron,07/21/2020,0,0,5,4447,0,0,112.4,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Franklin,08/28/2020,6,7,1511,155027,3.9,4.5,974.7,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Montour,08/24/2020,1,1.1,126,18230,5.5,6.3,691.2,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Fayette,03/03/2020,0,,0,129274,0,,0,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Lycoming,08/04/2020,8,6.6,359,113299,7.1,5.8,316.9,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Elk,03/19/2020,0,0,0,29910,0,0,0,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Crawford,10/09/2020,7,2.6,349,84629,8.3,3,412.4,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Lawrence,08/05/2020,22,7.6,380,85512,25.7,8.9,444.4,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Sullivan,05/09/2020,0,0,1,6066,0,0,16.5,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Fulton,07/07/2020,0,0,18,14530,0,0,123.9,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Crawford,07/31/2020,4,1.4,132,84629,4.7,1.7,156,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Adams,03/20/2020,0,0.6,4,103009,0,0.6,3.9,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Warren,05/24/2020,0,0.1,3,39191,0,0.4,7.7,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Forest,07/25/2020,0,0,7,7247,0,0,96.6,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Potter,01/05/2021,27,12.9,680,16526,163.4,77.8,4114.7,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Venango,09/08/2020,0,0.6,83,50668,0,1.1,163.8,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Forest,05/29/2020,0,0,7,7247,0,0,96.6,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Fayette,06/01/2020,0,0,101,129274,0,0,78.1,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Jefferson,08/31/2020,0,0.4,103,43425,0,1,237.2,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Susquehanna,06/17/2020,0,1.4,175,40328,0,3.5,433.9,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Berks,03/21/2020,3,2,14,421164,0.7,0.5,3.3,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Bradford,09/19/2020,1,2,138,60323,1.7,3.3,228.8,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Lawrence,07/20/2020,6,5.9,247,85512,7,6.8,288.8,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Butler,03/22/2020,3,0.6,4,187853,1.6,0.3,2.1,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Greene,03/15/2020,0,0,0,36233,0,0,0,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Franklin,07/12/2020,2,7.1,1016,155027,1.3,4.6,655.4,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Northumberland,06/12/2020,1,2.3,228,90843,1.1,2.5,251,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Snyder,04/27/2020,0,0.4,37,40372,0,1.1,91.6,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Crawford,04/13/2020,0,1.3,20,84629,0,1.5,23.6,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Lawrence,07/08/2020,4,5,150,85512,4.7,5.8,175.4,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Lebanon,03/19/2020,0,0.1,1,141793,0,0.1,0.7,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Erie,04/12/2020,0,2.4,44,269728,0,0.9,16.3,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Potter,06/24/2020,0,0.1,14,16526,0,0.9,84.7,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Cambria,03/22/2020,1,0.1,1,130192,0.8,0.1,0.8,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Bucks,03/03/2020,0,,0,628270,0,,0,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Jefferson,08/22/2020,7,2.4,99,43425,16.1,5.6,228,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Columbia,10/19/2020,5,2.9,1034,64964,7.7,4.4,1591.7,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Butler,03/13/2020,0,0,0,187853,0,0,0,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Butler,04/06/2020,16,6.9,108,187853,8.5,3.7,57.5,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Wyoming,03/20/2020,0,0.1,1,26794,0,0.5,3.7,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Bradford,10/01/2020,8,7.9,209,60323,13.3,13,346.5,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Mercer,07/05/2020,4,3.4,160,109424,3.7,3.1,146.2,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Franklin,08/23/2020,3,7.9,1478,155027,1.9,5.1,953.4,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Northumberland,07/01/2020,2,4.7,325,90843,2.2,5.2,357.8,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Adams,03/04/2020,0,,0,103009,0,,0,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Erie,07/11/2020,4,8.3,720,269728,1.5,3.1,266.9,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Sullivan,07/14/2020,0,0,11,6066,0,0,181.3,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Schuylkill,03/09/2020,0,0,0,141359,0,0,0,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Centre,07/19/2020,8,5.6,294,162385,4.9,3.4,181.1,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Franklin,05/23/2020,21,15.3,732,155027,13.5,9.9,472.2,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Juniata,03/25/2020,0,0.1,1,24763,0,0.6,4,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Greene,04/19/2020,1,0.3,26,36233,2.8,0.8,71.8,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Snyder,03/29/2020,0,0.3,2,40372,0,0.7,5,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Bradford,04/05/2020,0,0.6,11,60323,0,0.9,18.2,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Sullivan,11/15/2020,1,1.7,35,6066,16.5,28.3,577,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Snyder,04/19/2020,2,0.9,33,40372,5,2.1,81.7,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Philadelphia,03/12/2020,0,0.1,1,1584064,0,0,0.1,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Forest,04/17/2021,0,0.6,1399,7247,0,7.9,19304.5,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Forest,08/10/2020,0,0.1,10,7247,0,2,138,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Cameron,04/17/2021,0,0.4,286,4447,0,9.6,6431.3,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Bedford,03/13/2020,0,0,0,47888,0,0,0,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Perry,06/29/2020,0,0.3,90,46272,0,0.6,194.5,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Potter,12/27/2020,1,9,576,16526,6.1,54.5,3485.4,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Jefferson,07/08/2020,2,1.6,38,43425,4.6,3.6,87.5,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Indiana,04/13/2020,0,3.1,43,84073,0,3.7,51.1,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Lycoming,07/03/2020,10,4.4,210,113299,8.8,3.9,185.4,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Tioga,05/18/2020,0,0,16,40591,0,0,39.4,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Potter,03/27/2020,1,0.1,2,16526,6.1,0.9,12.1,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Venango,11/15/2020,21,20.1,589,50668,41.4,39.8,1162.5,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Tioga,05/22/2020,0,0,16,40591,0,0,39.4,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Somerset,04/07/2020,0,0.6,7,73447,0,0.8,9.5,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Juniata,06/04/2020,0,0,93,24763,0,0,375.6,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Clinton,03/25/2020,0,0,0,38632,0,0,0,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Bradford,08/25/2020,0,0.4,110,60323,0,0.7,182.4,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Sullivan,08/17/2020,0,0,11,6066,0,0,181.3,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Monroe,07/13/2020,5,5.1,1490,170271,2.9,3,875.1,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Schuylkill,03/05/2020,0,,0,141359,0,,0,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Venango,06/30/2020,0,0.3,22,50668,0,0.6,43.4,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Juniata,12/11/2020,14,21.9,995,24763,56.5,88.3,4018.1,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Dauphin,03/23/2020,3,0.6,4,278299,1.1,0.2,1.4,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Cameron,08/02/2020,0,0.1,6,4447,0,3.2,134.9,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Forest,08/13/2020,1,0.4,12,7247,13.8,5.9,165.6,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Columbia,03/10/2020,0,0,0,64964,0,0,0,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Montour,06/06/2020,0,0.1,55,18230,0,0.8,301.7,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Franklin,09/07/2020,6,8.1,1588,155027,3.9,5.3,1024.3,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Somerset,04/02/2020,0,0.1,3,73447,0,0.2,4.1,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Luzerne,05/14/2020,15,22.7,2507,317417,4.7,7.2,789.8,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Somerset,03/18/2020,0,0,0,73447,0,0,0,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Franklin,05/12/2020,23,20.1,542,155027,14.8,13,349.6,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Northumberland,06/06/2020,3,2.3,215,90843,3.3,2.5,236.7,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Franklin,09/19/2020,5,9.7,1725,155027,3.2,6.3,1112.7,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Montour,07/05/2020,0,0.4,78,18230,0,2.4,427.9,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Cameron,02/01/2021,1,1.7,246,4447,22.5,38.5,5531.8,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Warren,05/28/2020,0,0,3,39191,0,0,7.7,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Potter,08/02/2020,0,0,21,16526,0,0,127.1,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Mifflin,03/22/2020,0,0,0,46138,0,0,0,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Juniata,06/18/2020,0,0.6,107,24763,0,2.3,432.1,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Dauphin,03/11/2020,0,0,0,278299,0,0,0,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Greene,07/03/2020,1,1.1,49,36233,2.8,3.2,135.2,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Juniata,08/11/2020,2,1,135,24763,8.1,4,545.2,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Erie,04/08/2020,2,2.1,37,269728,0.7,0.8,13.7,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Potter,05/13/2020,0,0,4,16526,0,0,24.2,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Greene,08/27/2020,1,0.9,146,36233,2.8,2.4,402.9,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Cumberland,03/17/2020,0,1.4,10,253370,0,0.6,3.9,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Juniata,07/27/2020,0,0.7,124,24763,0,2.9,500.7,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Cameron,08/07/2020,0,0,6,4447,0,0,134.9,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Schuylkill,03/19/2020,0,0,0,141359,0,0,0,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Montour,03/09/2020,0,0,0,18230,0,0,0,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Cameron,10/15/2020,0,0,8,4447,0,0,179.9,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Venango,05/28/2020,0,0,11,50668,0,0,21.7,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Fulton,05/10/2020,0,0.4,8,14530,0,2.9,55.1,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Northumberland,08/29/2020,10,6.4,693,90843,11,7.1,762.9,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Lebanon,03/24/2020,0,0.7,5,141793,0,0.5,3.5,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Philadelphia,03/06/2020,0,,0,1584064,0,,0,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Clinton,03/28/2020,0,0,0,38632,0,0,0,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Crawford,12/27/2020,12,50.9,4749,84629,14.2,60.1,5611.6,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Columbia,11/30/2020,10,17,1499,64964,15.4,26.2,2307.4,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Erie,08/30/2020,0,7.7,1368,269728,0,2.9,507.2,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Union,09/07/2020,0,3.6,414,44923,0,8,921.6,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Perry,06/24/2020,0,1.1,88,46272,0,2.5,190.2,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Cameron,08/31/2020,0,0,8,4447,0,0,179.9,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Union,09/29/2020,1,2.9,482,44923,2.2,6.4,1072.9,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Franklin,03/17/2021,25,34.1,13027,155027,16.1,22,8403.1,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Jefferson,09/12/2020,0,0.4,109,43425,0,1,251,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Potter,08/09/2020,0,0,21,16526,0,0,127.1,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Northumberland,09/10/2020,6,6.7,804,90843,6.6,7.4,885,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Union,09/06/2020,5,4.6,414,44923,11.1,10.2,921.6,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,09/04/2020,5,5.1,409,44923,11.1,11.4,910.4,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Venango,04/23/2020,0,0.1,9,50668,0,0.3,17.8,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
McKean,03/03/2020,0,,0,40625,0,,0,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Washington,08/28/2020,19,10.3,1046,206865,9.2,5,505.6,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Clarion,03/08/2020,0,0,0,38438,0,0,0,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Allegheny,03/07/2020,0,,0,1216045,0,,0,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Forest,05/21/2020,0,0,7,7247,0,0,96.6,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Franklin,03/07/2020,0,,0,155027,0,,0,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Forest,04/26/2020,0,0,7,7247,0,0,96.6,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Columbia,03/08/2020,0,0,0,64964,0,0,0,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Jefferson,06/01/2020,3,0.7,13,43425,6.9,1.6,29.9,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Juniata,07/28/2020,0,0.7,124,24763,0,2.9,500.7,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Schuylkill,06/22/2020,3,3.1,727,141359,2.1,2.2,514.3,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Northampton,03/07/2020,0,,0,305285,0,,0,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Greene,08/25/2020,0,1.1,145,36233,0,3.2,400.2,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Snyder,04/05/2020,0,1.1,10,40372,0,2.8,24.8,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Elk,05/01/2020,0,0.3,5,29910,0,1,16.7,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Potter,04/05/2021,7,1.9,993,16526,42.4,11.2,6008.7,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Fulton,04/17/2020,0,0.1,2,14530,0,1,13.8,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Juniata,08/09/2020,1,0.9,133,24763,4,3.5,537.1,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Lawrence,03/05/2020,0,,0,85512,0,,0,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Bedford,03/27/2020,0,0,0,47888,0,0,0,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Bradford,09/23/2020,3,2.6,153,60323,5,4.3,253.6,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Sullivan,10/08/2020,0,0.3,16,6066,0,4.7,263.8,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Fulton,05/12/2020,0,0.3,8,14530,0,2,55.1,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Bedford,06/01/2020,0,0.6,42,47888,0,1.2,87.7,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Sullivan,03/18/2020,0,0,0,6066,0,0,0,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Erie,07/23/2020,25,11,847,269728,9.3,4.1,314,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Monroe,03/13/2020,0,0.3,2,170271,0,0.2,1.2,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Franklin,02/21/2021,3,27.3,12294,155027,1.9,17.6,7930.2,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Bradford,03/21/2020,0,0,0,60323,0,0,0,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Bedford,06/19/2020,2,2.6,66,47888,4.2,5.4,137.8,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Fulton,08/20/2020,0,0,28,14530,0,0,192.7,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Jefferson,07/15/2020,0,0.9,44,43425,0,2,101.3,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Venango,07/03/2020,0,0.4,24,50668,0,0.8,47.4,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Montour,10/02/2020,3,4.4,204,18230,16.5,24.3,1119,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Cameron,05/09/2020,0,0.1,2,4447,0,3.2,45,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Elk,05/07/2020,0,0,5,29910,0,0,16.7,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Cameron,06/27/2020,0,0.1,3,4447,0,3.2,67.5,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Warren,04/12/2020,0,0,1,39191,0,0,2.6,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Sullivan,08/23/2020,0,0,11,6066,0,0,181.3,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Huntingdon,03/22/2020,0,0,0,45144,0,0,0,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Fayette,04/29/2020,0,1.3,87,129274,0,1,67.3,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Jefferson,07/07/2020,4,1.3,36,43425,9.2,3,82.9,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
