Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Lycoming,12/24/2020,141,136.1,5555,113299,124.4,120.2,4903,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Mifflin,01/16/2021,70,34.4,4006,46138,151.7,74.6,8682.6,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Philadelphia,11/23/2020,1051,967,58138,1584064,66.3,61,3670.2,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Cumberland,11/22/2020,60,119.3,4379,253370,23.7,47.1,1728.3,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Berks,10/06/2020,85,45.7,7519,421164,20.2,10.9,1785.3,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Washington,04/06/2020,4,3.4,59,206865,1.9,1.7,28.5,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Franklin,03/20/2021,19,33.4,13114,155027,12.3,21.6,8459.2,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Bradford,01/29/2021,20,21.1,3994,60323,33.2,35,6621,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Beaver,08/29/2020,8,14.7,1626,163929,4.9,9,991.9,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Snyder,07/22/2020,1,1.6,90,40372,2.5,3.9,222.9,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Westmoreland,09/08/2020,7,11,1933,348899,2,3.2,554,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Cameron,03/23/2021,0,0.6,271,4447,0,12.8,6094,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Mifflin,03/27/2021,7,9,4787,46138,15.2,19.5,10375.4,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Franklin,02/28/2021,17,29.4,12500,155027,11,19,8063.1,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Forest,03/03/2021,1,0.7,1377,7247,13.8,9.9,19001,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Lackawanna,08/01/2020,2,6.7,1914,209674,1,3.2,912.8,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Lehigh,12/30/2020,339,259.4,20522,369318,91.8,70.2,5556.7,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Lycoming,04/10/2021,41,38.1,10690,113299,36.2,33.7,9435.2,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Clinton,03/09/2021,5,6.4,2894,38632,12.9,16.6,7491.2,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Westmoreland,01/15/2021,169,204.9,23115,348899,48.4,58.7,6625.1,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Mifflin,11/29/2020,24,59.7,1784,46138,52,129.4,3866.7,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Delaware,10/07/2020,47,47.4,12082,566747,8.3,8.4,2131.8,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Westmoreland,11/10/2020,150,96.3,5478,348899,43,27.6,1570.1,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Lackawanna,10/05/2020,15,24,2783,209674,7.2,11.4,1327.3,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Washington,11/25/2020,114,109.7,4271,206865,55.1,53,2064.6,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Lehigh,02/24/2021,69,71.4,30589,369318,18.7,19.3,8282.6,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
York,03/08/2021,74,85.6,36570,449058,16.5,19.1,8143.7,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Bradford,12/29/2020,47,27.3,3115,60323,77.9,45.2,5163.9,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Montour,06/13/2020,0,1.6,66,18230,0,8.6,362,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Cumberland,02/10/2021,80,70.7,15234,253370,31.6,27.9,6012.6,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Cambria,10/27/2020,22,26,1123,130192,16.9,20,862.6,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Cumberland,04/16/2021,72,63.6,18938,253370,28.4,25.1,7474.4,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Schuylkill,07/28/2020,7,5.9,881,141359,5,4.1,623.2,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Washington,05/16/2020,0,0.7,137,206865,0,0.3,66.2,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Tioga,02/13/2021,5,6,2415,40591,12.3,14.8,5949.6,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Venango,02/20/2021,4,5.7,3338,50668,7.9,11.3,6588,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
York,01/20/2021,203,243,29383,449058,45.2,54.1,6543.3,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Cumberland,02/14/2021,42,66.1,15478,253370,16.6,26.1,6108.9,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Lehigh,03/30/2021,149,150.6,34096,369318,40.3,40.8,9232.2,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Cambria,10/30/2020,39,27.7,1233,130192,30,21.3,947.1,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Lycoming,12/14/2020,149,156.3,4179,113299,131.5,137.9,3688.5,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Greene,01/01/2021,23,30.1,1743,36233,63.5,83.2,4810.5,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Clearfield,04/14/2021,43,33.1,7724,79255,54.3,41.8,9745.8,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Columbia,03/09/2021,5,8.6,4727,64964,7.7,13.2,7276.3,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Cambria,09/04/2020,7,5.3,513,130192,5.4,4.1,394,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Lehigh,12/31/2020,291,262.4,20813,369318,78.8,71.1,5635.5,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Lycoming,12/10/2020,176,130.4,3595,113299,155.3,115.1,3173,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Tioga,09/24/2020,1,1.7,75,40591,2.5,4.2,184.8,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
York,03/03/2021,119,89.4,36176,449058,26.5,19.9,8056,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Lackawanna,08/16/2020,3,3.6,1982,209674,1.4,1.7,945.3,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Cumberland,02/01/2021,76,186,14635,253370,30,73.4,5776.1,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Cumberland,10/22/2020,22,20.1,2366,253370,8.7,7.9,933.8,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Philadelphia,10/25/2020,299,314.7,38051,1584064,18.9,19.9,2402.1,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Mifflin,02/01/2021,9,19.6,4341,46138,19.5,42.4,9408.7,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Wyoming,01/08/2021,11,9.7,904,26794,41.1,36.3,3373.9,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Lackawanna,10/29/2020,44,43.1,3875,209674,21,20.6,1848.1,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Lycoming,01/02/2021,30,92.1,6322,113299,26.5,81.3,5579.9,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Wyoming,06/16/2020,0,0,38,26794,0,0,141.8,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Washington,05/18/2020,0,0.4,137,206865,0,0.2,66.2,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Cambria,12/10/2020,257,212.9,6743,130192,197.4,163.5,5179.3,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Lycoming,03/08/2021,36,24.4,9588,113299,31.8,21.6,8462.6,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Westmoreland,02/05/2021,69,78.4,25289,348899,19.8,22.5,7248.2,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Dauphin,11/13/2020,84,85.7,6018,278299,30.2,30.8,2162.4,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Clinton,01/02/2021,16,29.9,2065,38632,41.4,77.3,5345.3,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Mifflin,12/25/2020,46,35.7,3254,46138,99.7,77.4,7052.8,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Mifflin,02/02/2021,6,16.9,4347,46138,13,36.5,9421.7,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Westmoreland,01/04/2021,215,219,20435,348899,61.6,62.8,5857,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Lackawanna,09/17/2020,26,13.7,2387,209674,12.4,6.5,1138.4,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Forest,02/16/2021,5,2.1,1367,7247,69,29.6,18863,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
York,03/16/2021,137,102.6,37426,449058,30.5,22.8,8334.3,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Northampton,11/29/2020,101,152.6,9198,305285,33.1,50,3012.9,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Cumberland,02/05/2021,75,76.9,14888,253370,29.6,30.3,5876,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Fayette,06/07/2020,0,0,101,129274,0,0,78.1,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Lycoming,03/21/2021,9,26.1,9892,113299,7.9,23.1,8730.9,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Beaver,12/29/2020,146,83.9,8304,163929,89.1,51.2,5065.6,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Lawrence,03/16/2021,16,14.6,6326,85512,18.7,17,7397.8,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Butler,11/17/2020,110,93.6,3249,187853,58.6,49.8,1729.5,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Westmoreland,12/23/2020,327,320.7,17835,348899,93.7,91.9,5111.8,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Beaver,12/13/2020,89,175,6268,163929,54.3,106.8,3823.6,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Erie,04/15/2020,5,2.1,52,269728,1.9,0.8,19.3,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Cambria,03/20/2021,7,14.3,12061,130192,5.4,11,9264,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
